event_type,region,asset_ticker,asset_name,asset_class,historical_direction,avg_move_24h,avg_move_72h,avg_move_168h,directional_accuracy,sample_size,confidence_rating
middle_east_military_escalation,Middle East,USO,United States Oil Fund,commodity_etf,up,2.1,4.3,6.8,0.71,47,high
middle_east_military_escalation,Middle East,BNO,United States Brent Oil Fund,commodity_etf,up,1.9,3.8,5.9,0.68,47,high
middle_east_military_escalation,Middle East,XOM,Exxon Mobil Corporation,equity,up,1.2,2.8,4.1,0.65,47,high
middle_east_military_escalation,Middle East,CVX,Chevron Corporation,equity,up,1.1,2.5,3.8,0.63,47,high
middle_east_military_escalation,Middle East,LMT,Lockheed Martin Corporation,equity,up,1.8,3.2,5.1,0.72,47,high
middle_east_military_escalation,Middle East,RTX,Raytheon Technologies,equity,up,1.6,3.0,4.8,0.70,47,high
middle_east_military_escalation,Middle East,NOC,Northrop Grumman,equity,up,1.5,2.9,4.5,0.68,47,high
middle_east_military_escalation,Middle East,JETS,US Global Jets ETF,equity,down,-1.8,-3.2,-4.9,0.66,47,high
middle_east_military_escalation,Middle East,GLD,SPDR Gold Shares,commodity_etf,up,0.9,1.8,2.7,0.61,47,medium
middle_east_military_escalation,Middle East,GC=F,Gold Futures,commodity,up,1.1,2.1,3.2,0.63,47,medium
russia_eastern_europe_conflict,Eastern Europe,BOIL,ProShares Ultra DJ-AIG Natural Gas,commodity_etf,up,3.2,6.1,9.8,0.73,38,high
russia_eastern_europe_conflict,Eastern Europe,UNG,United States Natural Gas Fund,commodity_etf,up,2.8,5.4,8.6,0.71,38,high
russia_eastern_europe_conflict,Eastern Europe,WEAT,Teucrium Wheat Fund,commodity_etf,up,2.1,4.2,6.8,0.68,38,high
russia_eastern_europe_conflict,Eastern Europe,CORN,Teucrium Corn Fund,commodity_etf,up,1.4,2.8,4.5,0.62,38,medium
russia_eastern_europe_conflict,Eastern Europe,EWG,iShares MSCI Germany ETF,equity,down,-1.9,-3.6,-5.8,0.69,38,high
russia_eastern_europe_conflict,Eastern Europe,FXE,Invesco CurrencyShares Euro Trust,fx,down,-0.8,-1.6,-2.4,0.64,38,medium
russia_eastern_europe_conflict,Eastern Europe,LMT,Lockheed Martin Corporation,equity,up,1.6,3.1,4.9,0.71,38,high
russia_eastern_europe_conflict,Eastern Europe,GLD,SPDR Gold Shares,commodity_etf,up,1.2,2.3,3.6,0.67,38,high
china_taiwan_tension,Asia Pacific,SOXX,iShares Semiconductor ETF,equity,down,-2.8,-5.4,-8.6,0.74,29,high
china_taiwan_tension,Asia Pacific,SMH,VanEck Semiconductor ETF,equity,down,-2.6,-5.1,-8.1,0.72,29,high
china_taiwan_tension,Asia Pacific,TSM,Taiwan Semiconductor Manufacturing,equity,down,-3.2,-6.1,-9.8,0.76,29,high
china_taiwan_tension,Asia Pacific,NVDA,NVIDIA Corporation,equity,down,-2.1,-4.2,-6.8,0.68,29,high
china_taiwan_tension,Asia Pacific,AMAT,Applied Materials,equity,down,-1.9,-3.8,-6.1,0.66,29,high
